hidden numbering,Frequency Rank,Complexity,Word,Romanised,품사,Classification,Hanja/Ref.,English,,Wiktionary Link,,Wordreference Link,Note,,,
3661,4276,A,번호,beonho,명,noun,番號,A number,https://en.wiktionary.org/wiki/번호,https://en.wiktionary.org/wiki/번호,https://www.wordreference.com/koen/번호,https://www.wordreference.com/koen/번호,,,,
3662,4277,C,벼,byeo,명,noun,,A rice plant,https://en.wiktionary.org/wiki/벼,https://en.wiktionary.org/wiki/벼,https://www.wordreference.com/koen/벼,https://www.wordreference.com/koen/벼,,,,
3663,4279,C,본인,bonin,명,noun,本人,Person in question,https://en.wiktionary.org/wiki/본인,https://en.wiktionary.org/wiki/본인,https://www.wordreference.com/koen/본인,https://www.wordreference.com/koen/본인,,,,
3664,4281,C,상점,sangjeom,명,noun,商店,"A shop,store",https://en.wiktionary.org/wiki/상점,https://en.wiktionary.org/wiki/상점,https://www.wordreference.com/koen/상점,https://www.wordreference.com/koen/상점,,,,
3665,4285,C,수백,subaek,관,attributive,數百,Hundreds,https://en.wiktionary.org/wiki/수백,https://en.wiktionary.org/wiki/수백,https://www.wordreference.com/koen/수백,https://www.wordreference.com/koen/수백,,,,
3666,4288,C,실장,siljang,명,noun,室長,"boss,president",https://en.wiktionary.org/wiki/실장,https://en.wiktionary.org/wiki/실장,https://www.wordreference.com/koen/실장,https://www.wordreference.com/koen/실장,,,,
3667,4289,C,쓸쓸하다,sseulsseulhada,형,adjective,,"Be lonely,lonesome",https://en.wiktionary.org/wiki/쓸쓸하다,https://en.wiktionary.org/wiki/쓸쓸하다,https://www.wordreference.com/koen/쓸쓸하다,https://www.wordreference.com/koen/쓸쓸하다,,,,
3668,4290,B,악수,aksu,명,noun,握手,Handshake,https://en.wiktionary.org/wiki/악수,https://en.wiktionary.org/wiki/악수,https://www.wordreference.com/koen/악수,https://www.wordreference.com/koen/악수,,,,
3669,4291,C,애,ae,명,noun,~가타다,(idiomatic) anxiety; impatience,https://en.wiktionary.org/wiki/애,https://en.wiktionary.org/wiki/애,https://www.wordreference.com/koen/애,https://www.wordreference.com/koen/애,,,,
3670,4292,C,어지럽다,eojireopda,형,adjective,,"To be dizzy 2) to be in chaos, disorganized",https://en.wiktionary.org/wiki/어지럽다,https://en.wiktionary.org/wiki/어지럽다,https://www.wordreference.com/koen/어지럽다,https://www.wordreference.com/koen/어지럽다,,,,
3671,4293,C,어찌하다,eojjihada,동,verb,,"Be subject to an attack of vertigo (figuratively), to not know what the hell is going on or what to do.",https://en.wiktionary.org/wiki/어찌하다,https://en.wiktionary.org/wiki/어찌하다,https://www.wordreference.com/koen/어찌하다,https://www.wordreference.com/koen/어찌하다,,,,
3672,4294,C,예정되다,yejeongdoeda,동,verb,豫定-,"Make a program, set a schedule",https://en.wiktionary.org/wiki/예정되다,https://en.wiktionary.org/wiki/예정되다,https://www.wordreference.com/koen/예정되다,https://www.wordreference.com/koen/예정되다,,,,
3673,4296,C,이중,ijung,명,noun,二重,"duplication,double",https://en.wiktionary.org/wiki/이중,https://en.wiktionary.org/wiki/이중,https://www.wordreference.com/koen/이중,https://www.wordreference.com/koen/이중,,,,
3674,4298,B,인원,inwon,명,noun,人員,The number of persons,https://en.wiktionary.org/wiki/인원,https://en.wiktionary.org/wiki/인원,https://www.wordreference.com/koen/인원,https://www.wordreference.com/koen/인원,,,,
3675,4299,C,인정받다,injeongbatda,동,verb,認定-,To receive recognition,https://en.wiktionary.org/wiki/인정받다,https://en.wiktionary.org/wiki/인정받다,https://www.wordreference.com/koen/인정받다,https://www.wordreference.com/koen/인정받다,,,,
3676,4300,B,인터뷰,inteobyu,명,noun,interview,Interview,https://en.wiktionary.org/wiki/인터뷰,https://en.wiktionary.org/wiki/인터뷰,https://www.wordreference.com/koen/인터뷰,https://www.wordreference.com/koen/인터뷰,,,,
3677,4302,B,입학하다,iphakhada,동,verb,入學-,To enter/be admitted into a school,https://en.wiktionary.org/wiki/입학하다,https://en.wiktionary.org/wiki/입학하다,https://www.wordreference.com/koen/입학하다,https://www.wordreference.com/koen/입학하다,,,,
3678,4303,C,자랑,jarang,명,noun,,Pride,https://en.wiktionary.org/wiki/자랑,https://en.wiktionary.org/wiki/자랑,https://www.wordreference.com/koen/자랑,https://www.wordreference.com/koen/자랑,,,,
3679,4304,A,저것,jeogeos,대,pronoun,,That thing over there,https://en.wiktionary.org/wiki/저것,https://en.wiktionary.org/wiki/저것,https://www.wordreference.com/koen/저것,https://www.wordreference.com/koen/저것,,,,
3680,4305,B,정문,jeongmun,명,noun,正門,"The front gate,main entrance",https://en.wiktionary.org/wiki/정문,https://en.wiktionary.org/wiki/정문,https://www.wordreference.com/koen/정문,https://www.wordreference.com/koen/정문,,,,
3681,4311,C,착각,chakgak,명,noun,錯覺,"Hallucination, illusion",https://en.wiktionary.org/wiki/착각,https://en.wiktionary.org/wiki/착각,https://www.wordreference.com/koen/착각,https://www.wordreference.com/koen/착각,,,,
3682,4312,C,창,chang,명,noun,窓,Window,https://en.wiktionary.org/wiki/창,https://en.wiktionary.org/wiki/창,https://www.wordreference.com/koen/창,https://www.wordreference.com/koen/창,,,,
3683,4313,C,친정,chinjeong,명,noun,親庭,A woman’s maiden home and family,https://en.wiktionary.org/wiki/친정,https://en.wiktionary.org/wiki/친정,https://www.wordreference.com/koen/친정,https://www.wordreference.com/koen/친정,,,,
3684,4314,B,켜지다,kyeojida,동,verb,,To become turned on,https://en.wiktionary.org/wiki/켜지다,https://en.wiktionary.org/wiki/켜지다,https://www.wordreference.com/koen/켜지다,https://www.wordreference.com/koen/켜지다,,,,
3685,4315,C,타입,taip,명,noun,type,Type,https://en.wiktionary.org/wiki/타입,https://en.wiktionary.org/wiki/타입,https://www.wordreference.com/koen/타입,https://www.wordreference.com/koen/타입,,,,
3686,4317,B,팩,paek,명,noun,pack,Pack,https://en.wiktionary.org/wiki/팩,https://en.wiktionary.org/wiki/팩,https://www.wordreference.com/koen/팩,https://www.wordreference.com/koen/팩,,,,
3687,4318,B,표시하다,pyosihada,동,verb,表示-,"To make a sign, display",https://en.wiktionary.org/wiki/표시하다,https://en.wiktionary.org/wiki/표시하다,https://www.wordreference.com/koen/표시하다,https://www.wordreference.com/koen/표시하다,,,,
3688,4319,C,행하다,haenghada,동,verb,行-,"To do, act, behave",https://en.wiktionary.org/wiki/행하다,https://en.wiktionary.org/wiki/행하다,https://www.wordreference.com/koen/행하다,https://www.wordreference.com/koen/행하다,,,,
3689,4320,C,활짝,hwaljjak,부,adverb,,"extensively,widely",https://en.wiktionary.org/wiki/활짝,https://en.wiktionary.org/wiki/활짝,https://www.wordreference.com/koen/활짝,https://www.wordreference.com/koen/활짝,,,,
3690,4321,B,감상하다,gamsanghada,동,verb,鑑賞-,To show appreciation,https://en.wiktionary.org/wiki/감상하다,https://en.wiktionary.org/wiki/감상하다,https://www.wordreference.com/koen/감상하다,https://www.wordreference.com/koen/감상하다,,,,
3691,4322,C,개별,gaebyeol,명,noun,個別,An individual or a particular case,https://en.wiktionary.org/wiki/개별,https://en.wiktionary.org/wiki/개별,https://www.wordreference.com/koen/개별,https://www.wordreference.com/koen/개별,,,,
3692,4325,C,공식적,gongsikjeok,명,noun,公式的,Formal or procedural,https://en.wiktionary.org/wiki/공식적,https://en.wiktionary.org/wiki/공식적,https://www.wordreference.com/koen/공식적,https://www.wordreference.com/koen/공식적,,,,
3693,4326,C,그런대로,geureondaero,부,adverb,,Such as it is or anyways,https://en.wiktionary.org/wiki/그런대로,https://en.wiktionary.org/wiki/그런대로,https://www.wordreference.com/koen/그런대로,https://www.wordreference.com/koen/그런대로,,,,
3694,4328,C,기독교,gidokgyo,명,noun,基督敎,Christianity,https://en.wiktionary.org/wiki/기독교,https://en.wiktionary.org/wiki/기독교,https://www.wordreference.com/koen/기독교,https://www.wordreference.com/koen/기독교,,,,
3695,4329,C,깨달음,kkaedareum,명,noun,,Realization,https://en.wiktionary.org/wiki/깨달음,https://en.wiktionary.org/wiki/깨달음,https://www.wordreference.com/koen/깨달음,https://www.wordreference.com/koen/깨달음,,,,
3696,4331,B,끼다,kkida,동,verb,구름이~,"(of fog, smoke, etc.) to shroud, to envelop, to permeate",https://en.wiktionary.org/wiki/끼다,https://en.wiktionary.org/wiki/끼다,https://www.wordreference.com/koen/끼다,https://www.wordreference.com/koen/끼다,,,,
3697,4332,B,넘어지다,neomeojida,동,verb,,"Fall down, collapse",https://en.wiktionary.org/wiki/넘어지다,https://en.wiktionary.org/wiki/넘어지다,https://www.wordreference.com/koen/넘어지다,https://www.wordreference.com/koen/넘어지다,,,,
3698,4334,C,눈부시다,nunbusida,형,adjective,,To be dazzling,https://en.wiktionary.org/wiki/눈부시다,https://en.wiktionary.org/wiki/눈부시다,https://www.wordreference.com/koen/눈부시다,https://www.wordreference.com/koen/눈부시다,,,,
3699,4335,B,단점,danjeom,명,noun,短點,A weak point,https://en.wiktionary.org/wiki/단점,https://en.wiktionary.org/wiki/단점,https://www.wordreference.com/koen/단점,https://www.wordreference.com/koen/단점,,,,
3700,4337,B,들려주다,deullyeojuda,동,verb,,"let [sb] hear; tell, inform",https://en.wiktionary.org/wiki/들려주다,https://en.wiktionary.org/wiki/들려주다,https://www.wordreference.com/koen/들려주다,https://www.wordreference.com/koen/들려주다,,,,
3701,4338,B,뚜껑,ttukkeong,명,noun,,1. lid,https://en.wiktionary.org/wiki/뚜껑,https://en.wiktionary.org/wiki/뚜껑,https://www.wordreference.com/koen/뚜껑,https://www.wordreference.com/koen/뚜껑,,,,
3702,4339,C,마음먹다,maeummeokda,동,verb,,Be determined to,https://en.wiktionary.org/wiki/마음먹다,https://en.wiktionary.org/wiki/마음먹다,https://www.wordreference.com/koen/마음먹다,https://www.wordreference.com/koen/마음먹다,,,,
3703,4340,C,목록,mokrok,명,noun,目錄,Catalogue,https://en.wiktionary.org/wiki/목록,https://en.wiktionary.org/wiki/목록,https://www.wordreference.com/koen/목록,https://www.wordreference.com/koen/목록,,,,
3704,4341,B,반복하다,banbokhada,동,verb,反復-,To repeat,https://en.wiktionary.org/wiki/반복하다,https://en.wiktionary.org/wiki/반복하다,https://www.wordreference.com/koen/반복하다,https://www.wordreference.com/koen/반복하다,,,,
3705,4342,C,반성하다,banseonghada,동,verb,反省-,Examine oneself,https://en.wiktionary.org/wiki/반성하다,https://en.wiktionary.org/wiki/반성하다,https://www.wordreference.com/koen/반성하다,https://www.wordreference.com/koen/반성하다,,,,
3706,4345,C,별명,byeolmyeong,명,noun,別名,"nickname,alias",https://en.wiktionary.org/wiki/별명,https://en.wiktionary.org/wiki/별명,https://www.wordreference.com/koen/별명,https://www.wordreference.com/koen/별명,,,,
3707,4346,C,보전,bojeon,명,noun,保全,"ingegrity,preservation",https://en.wiktionary.org/wiki/보전,https://en.wiktionary.org/wiki/보전,https://www.wordreference.com/koen/보전,https://www.wordreference.com/koen/보전,,,,
3708,4348,C,불어오다,bureooda,동,verb,,Call to come,https://en.wiktionary.org/wiki/불어오다,https://en.wiktionary.org/wiki/불어오다,https://www.wordreference.com/koen/불어오다,https://www.wordreference.com/koen/불어오다,,,,
3709,4352,C,소유하다,soyuhada,동,verb,所有-,"To possess,hold",https://en.wiktionary.org/wiki/소유하다,https://en.wiktionary.org/wiki/소유하다,https://www.wordreference.com/koen/소유하다,https://www.wordreference.com/koen/소유하다,,,,
3710,4353,A,수박,subak,명,noun,과일,Watermelon,https://en.wiktionary.org/wiki/수박,https://en.wiktionary.org/wiki/수박,https://www.wordreference.com/koen/수박,https://www.wordreference.com/koen/수박,,,,
3711,4354,C,스위치,seuwichi,명,noun,switch,Switch,https://en.wiktionary.org/wiki/스위치,https://en.wiktionary.org/wiki/스위치,https://www.wordreference.com/koen/스위치,https://www.wordreference.com/koen/스위치,,,,
3712,4355,C,신세,sinse,명,noun,~를망치다,"indebtedness,obligation",https://en.wiktionary.org/wiki/신세,https://en.wiktionary.org/wiki/신세,https://www.wordreference.com/koen/신세,https://www.wordreference.com/koen/신세,,,,
3713,4356,B,아까,akka,명,noun,,A little while ago,https://en.wiktionary.org/wiki/아까,https://en.wiktionary.org/wiki/아까,https://www.wordreference.com/koen/아까,https://www.wordreference.com/koen/아까,,,,
3714,4357,C,알아내다,aranaeda,동,verb,,To find out (e.g. the answer),https://en.wiktionary.org/wiki/알아내다,https://en.wiktionary.org/wiki/알아내다,https://www.wordreference.com/koen/알아내다,https://www.wordreference.com/koen/알아내다,,,,
3715,4358,B,암,am,명,noun,癌,Cancer,https://en.wiktionary.org/wiki/암,https://en.wiktionary.org/wiki/암,https://www.wordreference.com/koen/암,https://www.wordreference.com/koen/암,,,,
3716,4360,C,야단,yadan,명,noun,惹端,"A clamro, uproar 2) a scolding",https://en.wiktionary.org/wiki/야단,https://en.wiktionary.org/wiki/야단,https://www.wordreference.com/koen/야단,https://www.wordreference.com/koen/야단,,,,
3717,4361,C,얘,yae,감,interjection,,"Sonny, you there",https://en.wiktionary.org/wiki/얘,https://en.wiktionary.org/wiki/얘,https://www.wordreference.com/koen/얘,https://www.wordreference.com/koen/얘,,,,
3718,4363,B,엔,en,의,noun,&일en,Yen (japanese),https://en.wiktionary.org/wiki/엔,https://en.wiktionary.org/wiki/엔,https://www.wordreference.com/koen/엔,https://www.wordreference.com/koen/엔,,,,
3719,4364,C,연결,yeongyeol,명,noun,連結,"Connection, linking",https://en.wiktionary.org/wiki/연결,https://en.wiktionary.org/wiki/연결,https://www.wordreference.com/koen/연결,https://www.wordreference.com/koen/연결,,,,
3720,4365,C,연관,yeongwan,명,noun,聯關,"a connection, a grouping together, relationships",https://en.wiktionary.org/wiki/연관,https://en.wiktionary.org/wiki/연관,https://www.wordreference.com/koen/연관,https://www.wordreference.com/koen/연관,,,,
3721,4368,C,용서하다,yongseohada,동,verb,容恕-,"To pardon, to forgive",https://en.wiktionary.org/wiki/용서하다,https://en.wiktionary.org/wiki/용서하다,https://www.wordreference.com/koen/용서하다,https://www.wordreference.com/koen/용서하다,,,,
3722,4369,C,우정,ujeong,명,noun,友情,Feeling of friendship,https://en.wiktionary.org/wiki/우정,https://en.wiktionary.org/wiki/우정,https://www.wordreference.com/koen/우정,https://www.wordreference.com/koen/우정,,,,
3723,4371,C,육군,yukgun,명,noun,陸軍,The army,https://en.wiktionary.org/wiki/육군,https://en.wiktionary.org/wiki/육군,https://www.wordreference.com/koen/육군,https://www.wordreference.com/koen/육군,,,,
3724,4372,C,음식점,eumsikjeom,명,noun,飮食店,Restaurant,https://en.wiktionary.org/wiki/음식점,https://en.wiktionary.org/wiki/음식점,https://www.wordreference.com/koen/음식점,https://www.wordreference.com/koen/음식점,,,,
3725,4373,C,의논하다,uinonhada,동,verb,議論-,"To consult,confer with, talk over a matter",https://en.wiktionary.org/wiki/의논하다,https://en.wiktionary.org/wiki/의논하다,https://www.wordreference.com/koen/의논하다,https://www.wordreference.com/koen/의논하다,,,,
3726,4374,B,인분,inbun,의,noun,人分.3~,How many people counter for at restaurants,https://en.wiktionary.org/wiki/인분,https://en.wiktionary.org/wiki/인분,https://www.wordreference.com/koen/인분,https://www.wordreference.com/koen/인분,,,,
3727,4380,C,주요하다,juyohada,형,adjective,主要-,"To be chief,principal,leading",https://en.wiktionary.org/wiki/주요하다,https://en.wiktionary.org/wiki/주요하다,https://www.wordreference.com/koen/주요하다,https://www.wordreference.com/koen/주요하다,,,,
3728,4381,B,죽,juk,명,noun,粥,Rice porridge,https://en.wiktionary.org/wiki/죽,https://en.wiktionary.org/wiki/죽,https://www.wordreference.com/koen/죽,https://www.wordreference.com/koen/죽,,,,
3729,4383,C,차마,chama,부,adverb,,For all the world,https://en.wiktionary.org/wiki/차마,https://en.wiktionary.org/wiki/차마,https://www.wordreference.com/koen/차마,https://www.wordreference.com/koen/차마,,,,
3730,4384,C,참조,chamjo,명,noun,參照,"reference,comparison",https://en.wiktionary.org/wiki/참조,https://en.wiktionary.org/wiki/참조,https://www.wordreference.com/koen/참조,https://www.wordreference.com/koen/참조,,,,
3731,4386,A,첫째,cheosjjae,관,attributive,,The first,https://en.wiktionary.org/wiki/첫째,https://en.wiktionary.org/wiki/첫째,https://www.wordreference.com/koen/첫째,https://www.wordreference.com/koen/첫째,,,,
3732,4388,C,타고나다,tagonada,동,verb,,"Be born, gifted/endowed with",https://en.wiktionary.org/wiki/타고나다,https://en.wiktionary.org/wiki/타고나다,https://www.wordreference.com/koen/타고나다,https://www.wordreference.com/koen/타고나다,,,,
3733,4389,B,태우다,taeuda,동,verb,차에~,to give a ride/lift,https://en.wiktionary.org/wiki/태우다,https://en.wiktionary.org/wiki/태우다,https://www.wordreference.com/koen/태우다,https://www.wordreference.com/koen/태우다,,,,
3734,4392,C,행사,haengsa,명,noun,行使,1. use; exercise,https://en.wiktionary.org/wiki/행사,https://en.wiktionary.org/wiki/행사,https://www.wordreference.com/koen/행사,https://www.wordreference.com/koen/행사,,,,
3735,4393,B,향수,hyangsu,명,noun,香水,A perfume,https://en.wiktionary.org/wiki/향수,https://en.wiktionary.org/wiki/향수,https://www.wordreference.com/koen/향수,https://www.wordreference.com/koen/향수,,,,
3736,4394,C,허용되다,heoyongdoeda,동,verb,許容-,"To be permitted, approved",https://en.wiktionary.org/wiki/허용되다,https://en.wiktionary.org/wiki/허용되다,https://www.wordreference.com/koen/허용되다,https://www.wordreference.com/koen/허용되다,,,,
3737,4397,C,가입,gaip,명,noun,加入,"joining, signing, subscription",https://en.wiktionary.org/wiki/가입,https://en.wiktionary.org/wiki/가입,https://www.wordreference.com/koen/가입,https://www.wordreference.com/koen/가입,,,,
3738,4398,C,가정,gajeong,명,noun,假定,"a supposition or presupposition, hypothesis",https://en.wiktionary.org/wiki/가정,https://en.wiktionary.org/wiki/가정,https://www.wordreference.com/koen/가정,https://www.wordreference.com/koen/가정,,,,
3739,4402,A,과자,gwaja,명,noun,菓子,A snack or pastries or candy,https://en.wiktionary.org/wiki/과자,https://en.wiktionary.org/wiki/과자,https://www.wordreference.com/koen/과자,https://www.wordreference.com/koen/과자,,,,
3740,4403,C,교체,gyoche,명,noun,交替,Shift or change or alternate,https://en.wiktionary.org/wiki/교체,https://en.wiktionary.org/wiki/교체,https://www.wordreference.com/koen/교체,https://www.wordreference.com/koen/교체,,,,
3741,4405,B,김,gim,명,noun,"해초, 海草","Seaweed, laver",https://en.wiktionary.org/wiki/김,https://en.wiktionary.org/wiki/김,https://www.wordreference.com/koen/김,https://www.wordreference.com/koen/김,,,,
3742,4407,C,꼬마,kkoma,명,noun,,A dwarf,https://en.wiktionary.org/wiki/꼬마,https://en.wiktionary.org/wiki/꼬마,https://www.wordreference.com/koen/꼬마,https://www.wordreference.com/koen/꼬마,,,,
3743,4408,C,끝없이,kkeuteopsi,부,adverb,,Boundlessly,https://en.wiktionary.org/wiki/끝없이,https://en.wiktionary.org/wiki/끝없이,https://www.wordreference.com/koen/끝없이,https://www.wordreference.com/koen/끝없이,,,,
3744,4409,C,나르다,nareuda,동,verb,,"to move a long or semi-long distance (not just within a room); Carry, convey, transport",https://en.wiktionary.org/wiki/나르다,https://en.wiktionary.org/wiki/나르다,https://www.wordreference.com/koen/나르다,https://www.wordreference.com/koen/나르다,,,,
3745,4411,C,놀리다,nollida,동,verb,흉을보다,"Banter, tease",https://en.wiktionary.org/wiki/놀리다,https://en.wiktionary.org/wiki/놀리다,https://www.wordreference.com/koen/놀리다,https://www.wordreference.com/koen/놀리다,,,,
3746,4412,C,늘어놓다,neureonohda,동,verb,,"(1) Scatter about haphazardly ; (2) 으로 늘어놓다 to arrange, place in order",https://en.wiktionary.org/wiki/늘어놓다,https://en.wiktionary.org/wiki/늘어놓다,https://www.wordreference.com/koen/늘어놓다,https://www.wordreference.com/koen/늘어놓다,,,,
3747,4413,B,닫히다,dathida,동,verb,,"To shut, be closed",https://en.wiktionary.org/wiki/닫히다,https://en.wiktionary.org/wiki/닫히다,https://www.wordreference.com/koen/닫히다,https://www.wordreference.com/koen/닫히다,,,,
3748,4415,C,대표하다,daepyohada,동,verb,代表-,Represent,https://en.wiktionary.org/wiki/대표하다,https://en.wiktionary.org/wiki/대표하다,https://www.wordreference.com/koen/대표하다,https://www.wordreference.com/koen/대표하다,,,,
3749,4416,A,대학교,daehakgyo,명,noun,大學校,University,https://en.wiktionary.org/wiki/대학교,https://en.wiktionary.org/wiki/대학교,https://www.wordreference.com/koen/대학교,https://www.wordreference.com/koen/대학교,,,,
3750,4417,B,도로,doro,부,adverb,,"A road, way",https://en.wiktionary.org/wiki/도로,https://en.wiktionary.org/wiki/도로,https://www.wordreference.com/koen/도로,https://www.wordreference.com/koen/도로,,,,
3751,4418,A,돼지고기,dwaejigogi,명,noun,,pork,https://en.wiktionary.org/wiki/돼지고기,https://en.wiktionary.org/wiki/돼지고기,https://www.wordreference.com/koen/돼지고기,https://www.wordreference.com/koen/돼지고기,,,,
3752,4419,C,두려워하다,duryeowohada,동,verb,,"be afraid of, be scared, be frightened",https://en.wiktionary.org/wiki/두려워하다,https://en.wiktionary.org/wiki/두려워하다,https://www.wordreference.com/koen/두려워하다,https://www.wordreference.com/koen/두려워하다,,,,
3753,4420,C,뜻밖,tteusbakk,명,noun,,"1. unexpectedness, surprise",https://en.wiktionary.org/wiki/뜻밖,https://en.wiktionary.org/wiki/뜻밖,https://www.wordreference.com/koen/뜻밖,https://www.wordreference.com/koen/뜻밖,,,,
3754,4421,C,막걸리,makgeolli,명,noun,,A slightly bitter soju drink,https://en.wiktionary.org/wiki/막걸리,https://en.wiktionary.org/wiki/막걸리,https://www.wordreference.com/koen/막걸리,https://www.wordreference.com/koen/막걸리,,,,
3755,4422,C,맡다,matda,동,verb,냄새를~,(transitive) to smell,https://en.wiktionary.org/wiki/맡다,https://en.wiktionary.org/wiki/맡다,https://www.wordreference.com/koen/맡다,https://www.wordreference.com/koen/맡다,,,,
3756,4424,C,미스,miseu,명,noun,Miss,Miss,https://en.wiktionary.org/wiki/미스,https://en.wiktionary.org/wiki/미스,https://www.wordreference.com/koen/미스,https://www.wordreference.com/koen/미스,,,,
3757,4425,C,밀리다,millida,동,verb,방세가~,"to be left undone, to be late in making a payment (to fall into arrears) (2) to be pushed, shoved",https://en.wiktionary.org/wiki/밀리다,https://en.wiktionary.org/wiki/밀리다,https://www.wordreference.com/koen/밀리다,https://www.wordreference.com/koen/밀리다,,,,
3758,4426,B,밥그릇,bapgeureus,명,noun,,A rice bown,https://en.wiktionary.org/wiki/밥그릇,https://en.wiktionary.org/wiki/밥그릇,https://www.wordreference.com/koen/밥그릇,https://www.wordreference.com/koen/밥그릇,,,,
3759,4427,B,방문,bangmun,명,noun,房門,door of a room,https://en.wiktionary.org/wiki/방문,https://en.wiktionary.org/wiki/방문,https://www.wordreference.com/koen/방문,https://www.wordreference.com/koen/방문,,,,
3760,4429,B,병들다,byeongdeulda,동,verb,病-,Get sick,https://en.wiktionary.org/wiki/병들다,https://en.wiktionary.org/wiki/병들다,https://www.wordreference.com/koen/병들다,https://www.wordreference.com/koen/병들다,,,,
3761,4430,C,부러지다,bureojida,동,verb,,"Break, get broken",https://en.wiktionary.org/wiki/부러지다,https://en.wiktionary.org/wiki/부러지다,https://www.wordreference.com/koen/부러지다,https://www.wordreference.com/koen/부러지다,,,,
3762,4433,B,불꽃,bulkkocc,명,noun,,"flame,blaze,spark",https://en.wiktionary.org/wiki/불꽃,https://en.wiktionary.org/wiki/불꽃,https://www.wordreference.com/koen/불꽃,https://www.wordreference.com/koen/불꽃,,,,
3763,4436,C,상대성,sangdaeseong,명,noun,相對性,Relativity,https://en.wiktionary.org/wiki/상대성,https://en.wiktionary.org/wiki/상대성,https://www.wordreference.com/koen/상대성,https://www.wordreference.com/koen/상대성,,,,
3764,4437,C,설문,seolmun,명,noun,設問,questions like those on a questionnaire,https://en.wiktionary.org/wiki/설문,https://en.wiktionary.org/wiki/설문,https://www.wordreference.com/koen/설문,https://www.wordreference.com/koen/설문,,,,
3765,4438,B,소설가,soseolga,명,noun,小說家,Novelist,https://en.wiktionary.org/wiki/소설가,https://en.wiktionary.org/wiki/소설가,https://www.wordreference.com/koen/소설가,https://www.wordreference.com/koen/소설가,,,,
3766,4443,C,쓸다,sseulda,동,verb,마당을~,"brush, sweep perhaps lightly",https://en.wiktionary.org/wiki/쓸다,https://en.wiktionary.org/wiki/쓸다,https://www.wordreference.com/koen/쓸다,https://www.wordreference.com/koen/쓸다,,,,
3767,4444,A,안녕히,annyeonghi,부,adverb,安寧-,Peacefully,https://en.wiktionary.org/wiki/안녕히,https://en.wiktionary.org/wiki/안녕히,https://www.wordreference.com/koen/안녕히,https://www.wordreference.com/koen/안녕히,,,,
3768,4445,C,안팎,anpakk,명,noun,,"The interior and exterior, both sides",https://en.wiktionary.org/wiki/안팎,https://en.wiktionary.org/wiki/안팎,https://www.wordreference.com/koen/안팎,https://www.wordreference.com/koen/안팎,,,,
3769,4448,C,예방하다,yebanghada,동,verb,豫防-,"To protect, prevent, fend off",https://en.wiktionary.org/wiki/예방하다,https://en.wiktionary.org/wiki/예방하다,https://www.wordreference.com/koen/예방하다,https://www.wordreference.com/koen/예방하다,,,,
3770,4449,C,올,ol,명,noun,올해,This year,https://en.wiktionary.org/wiki/올,https://en.wiktionary.org/wiki/올,https://www.wordreference.com/koen/올,https://www.wordreference.com/koen/올,,,,
3771,4451,C,유의하다,yuuihada,동,verb,留意-,"To bear in mind, be heedful of",https://en.wiktionary.org/wiki/유의하다,https://en.wiktionary.org/wiki/유의하다,https://www.wordreference.com/koen/유의하다,https://www.wordreference.com/koen/유의하다,,,,
3772,4452,B,유학,yuhak,명,noun,儒學,Confucianism,https://en.wiktionary.org/wiki/유학,https://en.wiktionary.org/wiki/유학,https://www.wordreference.com/koen/유학,https://www.wordreference.com/koen/유학,,,,
3773,4453,C,이해되다,ihaedoeda,동,verb,理解-,To be understood,https://en.wiktionary.org/wiki/이해되다,https://en.wiktionary.org/wiki/이해되다,https://www.wordreference.com/koen/이해되다,https://www.wordreference.com/koen/이해되다,,,,
3774,4454,C,인하,inha,명,noun,引下,"reduction,lowering",https://en.wiktionary.org/wiki/인하,https://en.wiktionary.org/wiki/인하,https://www.wordreference.com/koen/인하,https://www.wordreference.com/koen/인하,,,,
3775,4456,C,작성,jakseong,명,noun,作成,"editing,composition ; filling out a form",https://en.wiktionary.org/wiki/작성,https://en.wiktionary.org/wiki/작성,https://www.wordreference.com/koen/작성,https://www.wordreference.com/koen/작성,,,,
3776,4457,C,잘리다,jallida,동,verb,,"Be snapped,broken,cut off",https://en.wiktionary.org/wiki/잘리다,https://en.wiktionary.org/wiki/잘리다,https://www.wordreference.com/koen/잘리다,https://www.wordreference.com/koen/잘리다,,,,
3777,4459,C,전달,jeondal,명,noun,傳達,Delivery,https://en.wiktionary.org/wiki/전달,https://en.wiktionary.org/wiki/전달,https://www.wordreference.com/koen/전달,https://www.wordreference.com/koen/전달,,,,
3778,4460,C,전시회,jeonsihoe,명,noun,展示會,"An exhibition, show, display",https://en.wiktionary.org/wiki/전시회,https://en.wiktionary.org/wiki/전시회,https://www.wordreference.com/koen/전시회,https://www.wordreference.com/koen/전시회,,,,
3779,4461,A,전화하다,jeonhwahada,동,verb,電話-,To call,https://en.wiktionary.org/wiki/전화하다,https://en.wiktionary.org/wiki/전화하다,https://www.wordreference.com/koen/전화하다,https://www.wordreference.com/koen/전화하다,,,,
3780,4462,C,전환하다,jeonhwanhada,동,verb,轉換-,"To exchange, to convert, to change over",https://en.wiktionary.org/wiki/전환하다,https://en.wiktionary.org/wiki/전환하다,https://www.wordreference.com/koen/전환하다,https://www.wordreference.com/koen/전환하다,,,,
